# FoldX/1tt8_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
    70    113  0.000 |  2.997  2.028  1.119       9     32     46   0.940
#
