# wkgb/1i1w_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   127     45 20.000 |  8.482  7.503 10.000      16     24     27   0.570
   127     51 19.000 |  8.399  7.383 10.000      16     24     27   0.570
   127     62 18.000 |  7.975  6.785 10.000      18     29     33   0.598
   127     76 17.000 |  7.835  6.383  9.203      23     36     40   0.584
   127     92 16.000 |  7.647  5.900  6.336      27     42     48   0.597
   127    117 15.000 |  8.148  5.514  3.122      34     52     58   0.558
   127    138 14.000 |  7.843  5.109  2.179      34     54     62   0.575
   127    174 13.000 |  5.773  3.628  1.030      37     62     72   0.585
   127    205 12.000 |  3.745  2.401  0.892      38     70     81   0.613
   127    253 11.000 |  2.769  1.770  0.772      39     77     89   0.616
   127    305 10.000 |  2.271  1.477  0.725      40     80     93   0.622
   127    380  9.000 |  1.794  1.171  0.650      43     87    100   0.622
   127    476  8.000 |  1.636  1.052  0.630      45     92    106   0.632
   127    612  7.000 |  1.345  0.910  0.578      48     96    110   0.638
   127    761  6.000 |  1.084  0.763  0.554      51    103    118   0.636
   127    953  5.000 |  1.027  0.729  0.552      52    105    120   0.635
   127   1206  4.000 |  0.985  0.711  0.552      52    107    121   0.622
   127   1499  3.000 |  0.848  0.662  0.552      52    109    124   0.610
   127   1844  2.000 |  0.740  0.631  0.552      52    110    125   0.611
   127   1846  1.000 |  0.740  0.631  0.552      52    110    125   0.611
   127   1846  0.000 |  0.740  0.631  0.552      52    110    125   0.611
#
