# wkgb/1p1x_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    53     14 20.000 |  8.880  8.127 10.000       4      9      9   0.565
    53     19 19.000 |  8.642  7.727 10.000       5     10     10   0.734
    53     24 18.000 |  8.529  7.610 10.000       5     10     10   0.734
    53     29 17.000 |  8.015  6.834 10.000       8     14     14   0.670
    53     40 16.000 |  7.584  5.783  6.693      12     20     20   0.674
    53     55 15.000 | 11.229  7.112  3.060      13     22     23   0.683
    53     77 14.000 |  6.885  4.233  1.527      16     25     26   0.705
    53     96 13.000 |  5.074  3.209  0.975      18     27     29   0.669
    53    129 12.000 |  3.145  2.021  0.896      21     31     33   0.682
    53    156 11.000 |  2.340  1.483  0.689      23     35     37   0.671
    53    195 10.000 |  2.182  1.330  0.647      24     38     40   0.644
    53    251  9.000 |  1.792  1.082  0.547      25     40     44   0.663
    53    320  8.000 |  1.105  0.764  0.428      28     43     48   0.638
    53    422  7.000 |  1.105  0.764  0.428      28     43     48   0.638
    53    551  6.000 |  0.863  0.693  0.428      28     43     49   0.653
    53    721  5.000 |  0.863  0.693  0.428      28     43     49   0.653
    53    937  4.000 |  0.743  0.628  0.421      29     45     51   0.628
    53   1222  3.000 |  0.743  0.628  0.421      29     45     51   0.628
    53   1663  2.000 |  0.727  0.620  0.421      29     45     52   0.620
    53   1665  1.000 |  0.727  0.620  0.421      29     45     52   0.620
    53   1665  0.000 |  0.727  0.620  0.421      29     45     52   0.620
#
