# wkgb/2xom_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    59     10 20.000 |  9.299  8.829 10.000       1      4      4   1.104
    59     11 19.000 |  9.218  8.683 10.000       1      5      5   1.048
    59     16 18.000 |  8.787  7.925 10.000       4      9     10   0.880
    59     22 17.000 |  8.395  7.348 10.000       5     12     13   0.818
    59     29 16.000 |  7.942  6.740 10.000       6     14     15   0.774
    59     44 15.000 |  7.797  5.935  5.649      11     20     22   0.666
    59     61 14.000 | 10.564  6.705  3.634      13     23     26   0.631
    59     90 13.000 |  5.467  3.266  1.081      16     29     35   0.700
    59    115 12.000 |  3.623  2.188  0.796      18     33     39   0.700
    59    144 11.000 |  2.718  1.716  0.767      19     36     42   0.669
    59    172 10.000 |  2.563  1.604  0.727      20     37     43   0.664
    59    217  9.000 |  2.113  1.326  0.727      20     39     46   0.737
    59    275  8.000 |  1.478  1.017  0.717      20     41     50   0.728
    59    341  7.000 |  1.465  1.007  0.717      20     41     51   0.720
    59    427  6.000 |  1.206  0.901  0.717      20     41     53   0.717
    59    541  5.000 |  1.055  0.848  0.717      20     41     53   0.740
    59    690  4.000 |  0.866  0.744  0.711      20     45     56   0.713
    59    917  3.000 |  0.863  0.743  0.711      20     45     56   0.711
    59   1205  2.000 |  0.800  0.711  0.711      20     46     57   0.711
    59   1207  1.000 |  0.800  0.711  0.711      20     46     57   0.711
    59   1207  0.000 |  0.800  0.711  0.711      20     46     57   0.711
#
