# wkgb/4a7u_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    52     13 20.000 |  9.162  8.617 10.000       3      4      5   0.717
    52     23 19.000 |  8.579  7.597 10.000       7      8     10   0.632
    52     31 18.000 |  7.896  6.575 10.000       7     11     13   0.703
    52     39 17.000 |  8.045  6.348  6.635       7     11     14   0.741
    52     48 16.000 |  9.937  6.422  2.767       9     17     20   0.725
    52     61 15.000 |  9.071  5.165  1.985      11     20     24   0.734
    52     76 14.000 |  6.398  3.530  1.262      12     22     28   0.772
    52     96 13.000 |  3.191  2.180  1.102      13     24     31   0.769
    52    113 12.000 |  2.919  1.973  1.003      13     26     33   0.766
    52    139 11.000 |  2.292  1.550  0.906      15     29     36   0.757
    52    169 10.000 |  2.175  1.428  0.853      16     32     39   0.729
    52    210  9.000 |  1.493  1.020  0.698      17     38     44   0.705
    52    262  8.000 |  1.460  0.980  0.669      18     39     45   0.695
    52    321  7.000 |  1.120  0.837  0.654      19     40     46   0.690
    52    414  6.000 |  1.089  0.806  0.637      19     42     47   0.657
    52    555  5.000 |  0.830  0.711  0.637      19     42     48   0.711
    52    703  4.000 |  0.830  0.711  0.637      19     42     48   0.711
    52    900  3.000 |  0.811  0.702  0.637      19     42     49   0.702
    52   1186  2.000 |  0.808  0.700  0.637      19     42     49   0.700
    52   1187  1.000 |  0.808  0.700  0.637      19     42     49   0.700
    52   1187  0.000 |  0.808  0.700  0.637      19     42     49   0.700
#
