# wkgb/3dha_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    68     24 20.000 |  8.516  7.429 10.000       9     16     17   0.569
    68     30 19.000 |  8.035  6.720 10.000      12     19     20   0.574
    68     36 18.000 |  7.938  6.535 10.000      12     19     21   0.613
    68     47 17.000 |  7.731  6.018  7.057      13     20     23   0.663
    68     59 16.000 |  8.324  5.909  3.200      14     23     26   0.660
    68     72 15.000 | 10.458  6.282  2.066      17     27     31   0.616
    68     89 14.000 |  6.759  4.230  1.373      20     31     35   0.588
    68    104 13.000 |  6.030  3.536  1.136      21     32     38   0.613
    68    141 12.000 |  3.644  2.131  0.738      23     38     44   0.661
    68    169 11.000 |  3.072  1.831  0.675      25     40     46   0.670
    68    212 10.000 |  2.516  1.468  0.654      26     43     50   0.692
    68    278  9.000 |  1.896  1.159  0.631      29     47     54   0.649
    68    362  8.000 |  1.684  0.981  0.561      30     51     58   0.639
    68    469  7.000 |  1.385  0.798  0.516      32     54     62   0.617
    68    606  6.000 |  0.801  0.642  0.516      32     55     65   0.606
    68    803  5.000 |  0.785  0.633  0.516      32     55     66   0.596
    68   1029  4.000 |  0.707  0.606  0.516      32     55     67   0.606
    68   1362  3.000 |  0.707  0.606  0.516      32     55     67   0.606
    68   1817  2.000 |  0.707  0.606  0.516      32     55     67   0.606
    68   1820  1.000 |  0.707  0.606  0.516      32     55     67   0.606
    68   1820  0.000 |  0.707  0.606  0.516      32     55     67   0.606
#
