# wkgb/3agn_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    47      8 20.000 |  9.496  9.189 10.000       1      3      3   0.654
    47      9 19.000 |  9.384  8.989 10.000       1      4      4   0.631
    47     17 18.000 |  8.677  7.867 10.000       4      8      8   0.632
    47     24 17.000 |  8.091  6.890 10.000       5     13     13   0.636
    47     36 16.000 |  7.158  5.329  5.654      10     20     21   0.594
    47     43 15.000 |  8.279  5.586  2.757      10     20     22   0.617
    47     50 14.000 |  8.240  5.147  1.120      11     23     25   0.620
    47     63 13.000 |  5.700  3.828  1.120      11     23     25   0.620
    47     75 12.000 |  5.051  3.337  1.120      11     23     26   0.641
    47     94 11.000 |  3.380  2.297  0.845      13     26     29   0.658
    47    120 10.000 |  2.955  1.955  0.751      13     28     31   0.688
    47    161  9.000 |  1.712  1.122  0.688      17     34     37   0.688
    47    206  8.000 |  1.168  0.834  0.570      18     37     40   0.671
    47    260  7.000 |  1.125  0.797  0.563      19     38     41   0.667
    47    340  6.000 |  0.773  0.678  0.563      19     39     44   0.678
    47    434  5.000 |  0.751  0.666  0.563      19     39     45   0.666
    47    559  4.000 |  0.751  0.666  0.563      19     39     45   0.666
    47    739  3.000 |  0.751  0.666  0.563      19     39     45   0.666
    47    963  2.000 |  0.751  0.666  0.563      19     39     45   0.666
    47    965  1.000 |  0.751  0.666  0.563      19     39     45   0.666
    47    965  0.000 |  0.751  0.666  0.563      19     39     45   0.666
#
