# wkgb/2jhf_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   121     19 20.000 |  9.262  8.737 10.000       5      8     11   0.957
   121     30 19.000 |  8.799  7.994 10.000      10     15     19   0.759
   121     43 18.000 |  8.312  7.219 10.000      15     23     27   0.707
   121     61 17.000 |  7.567  6.211 10.000      21     29     34   0.649
   121     80 16.000 |  7.185  5.501  5.064      24     37     46   0.661
   121    105 15.000 |  7.698  5.312  2.282      24     43     53   0.682
   121    138 14.000 |  7.691  4.716  1.424      27     49     61   0.711
   121    174 13.000 |  4.895  3.025  1.049      31     57     71   0.705
   121    216 12.000 |  3.981  2.380  0.856      33     64     80   0.691
   121    270 11.000 |  3.190  1.946  0.753      34     68     85   0.694
   121    336 10.000 |  2.342  1.410  0.713      38     74     96   0.696
   121    412  9.000 |  1.887  1.210  0.708      39     77     98   0.701
   121    524  8.000 |  1.620  1.028  0.628      42     84    103   0.681
   121    659  7.000 |  1.271  0.856  0.606      43     90    109   0.655
   121    831  6.000 |  1.206  0.826  0.606      43     90    110   0.672
   121   1072  5.000 |  1.012  0.737  0.605      44     93    115   0.674
   121   1376  4.000 |  0.778  0.674  0.591      45     95    117   0.662
   121   1798  3.000 |  0.778  0.674  0.591      45     95    117   0.662
   121   2386  2.000 |  0.778  0.674  0.591      45     95    117   0.662
   121   2388  1.000 |  0.778  0.674  0.591      45     95    117   0.662
   121   2388  0.000 |  0.778  0.674  0.591      45     95    117   0.662
#
