# watGNN/7a3h_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   129     59 95.000 |  7.752  6.314 10.000      35     41     44   0.352
   129     84 90.000 |  6.686  4.915  4.081      46     57     60   0.362
   129    111 85.000 |  6.623  4.290  0.845      53     68     71   0.369
   129    130 80.000 |  8.336  4.621  0.776      55     72     75   0.377
   129    162 75.000 |  4.964  2.906  0.643      60     78     82   0.404
   129    197 70.000 |  4.042  2.286  0.526      64     84     90   0.449
   129    232 65.000 |  3.251  1.763  0.453      67     90     97   0.474
   129    255 60.000 |  3.116  1.687  0.453      67     91     98   0.477
   129    283 55.000 |  2.733  1.450  0.403      70     95    102   0.476
   129    318 50.000 |  2.235  1.154  0.395      72     99    110   0.490
   129    375 45.000 |  1.593  0.876  0.388      75    102    115   0.495
   129    422 40.000 |  1.461  0.833  0.388      75    102    115   0.495
   129    470 35.000 |  1.230  0.720  0.369      78    105    119   0.496
   129    521 30.000 |  1.118  0.678  0.369      78    106    120   0.510
   129    587 25.000 |  0.929  0.616  0.369      78    107    122   0.518
   129    647 20.000 |  0.836  0.589  0.369      78    107    123   0.524
   129    714 15.000 |  0.834  0.589  0.369      78    107    123   0.524
   129    799 10.000 |  0.771  0.565  0.369      78    108    124   0.525
   129    865  5.000 |  0.771  0.565  0.369      78    108    124   0.525
   129   1193  0.000 |  0.679  0.537  0.369      78    109    125   0.526
#
