# watGNN/2gud_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    43     16 95.000 |  8.118  6.813 10.000      12     13     13   0.238
    43     24 90.000 |  7.508  5.990  8.408      13     16     16   0.309
    43     32 85.000 |  7.287  5.368  6.280      15     19     19   0.330
    43     47 80.000 | 11.494  6.637  3.898      16     20     20   0.320
    43     58 75.000 |  8.966  4.934  0.837      18     23     23   0.331
    43     70 70.000 |  8.476  4.373  0.515      21     26     26   0.309
    43     79 65.000 |  7.403  3.872  0.515      21     26     26   0.309
    43     93 60.000 |  7.074  3.673  0.515      21     27     27   0.328
    43    111 55.000 |  5.998  3.118  0.498      22     29     29   0.343
    43    132 50.000 |  5.501  2.722  0.498      22     30     30   0.412
    43    151 45.000 |  5.501  2.722  0.498      22     30     30   0.412
    43    175 40.000 |  3.819  1.813  0.498      22     32     32   0.420
    43    202 35.000 |  2.552  1.349  0.498      22     33     33   0.425
    43    243 30.000 |  2.303  1.220  0.498      22     33     34   0.443
    43    284 25.000 |  2.005  1.063  0.438      23     34     35   0.434
    43    330 20.000 |  1.631  0.937  0.438      23     34     35   0.469
    43    400 15.000 |  0.890  0.608  0.351      24     37     38   0.469
    43    459 10.000 |  0.828  0.578  0.351      24     37     39   0.484
    43    517  5.000 |  0.828  0.578  0.351      24     37     39   0.484
    43    614  0.000 |  0.828  0.578  0.351      24     37     39   0.484
#
